EventId,EventTemplate
E1,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds"
E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>"
E3,<*> double-hummer alignment exceptions
E4,<*> floating point alignment exceptions
E5,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected
E6,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> seconds
E7,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.
E8,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected
E9,<*> torus receiver y+ input pipe error(s) (dcr <*>) detected and corrected
E10,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected
E11,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds
E12,"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt."
E13,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected
E14,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds
E15,auxiliary processor.........................<*>
E16,byte ordering exception.....................<*>
E17,Can not get assembly information for node card
E18,"CE sym <*>, at <*>, mask <*>"
E19,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
E20,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file /<*>
E21,ciod: Error creating node map from file <*>: Bad file descriptor
E22,ciod: Error creating node map from file <*>: Block device required
E23,ciod: Error creating node map from file <*>: No child processes
E24,ciod: Error creating node map from file <*>: Permission denied
E25,"ciod: Error loading /<*>: invalid or missing program image, Exec format error"
E26,"ciod: Error loading /<*>: invalid or missing program image, Permission denied"
E27,"ciod: Error loading /<*>: program image too big, <*> > <*>"
E28,"ciod: Error loading <*>: invalid or missing program image, No such file or directory"
E29,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>:<*>: Link has been severed
E30,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection reset by peer"
E31,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection timed out"
E32,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed"
E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
E34,ciod: generated <*> core files for program <*>
E35,"ciod: In packet from node <*>.<*> (<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
E36,ciod: LOGIN chdir(<*>) failed: Input/output error
E37,ciod: LOGIN chdir(<*>) failed: No such file or directory
E38,ciod: Message code <*> is not <*> or <*>
E39,ciod: Missing or invalid fields on line <*> of node map file /<*>
E40,ciod: pollControlDescriptors: Detected the debugger died.
E41,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>"
E42,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file /<*>
E43,core configuration register: <*>
E44,critical input interrupt (unit=<*> bit=<*>): warning for torus y+ wire
E45,critical input interrupt (unit=<*> bit=<*>): warning for torus z- wire
