EventId,EventTemplate
E1,<*>:<*> <*>:<*> <*>:<*> <*>:<*>
E2,<*> <*> <*> BGLERR_IDO_PKT_TIMEOUT connection lost to node/link/service card
E3,<*> correctable errors exceeds threshold (iar <*> lr <*>
E4,<*> ddr error(s) detected and corrected on rank <*> symbol <*> over <*> seconds
E5,"<*> ddr errors(s) detected and corrected on rank <*> symbol <*>, bit <*>"
E6,<*> double-hummer alignment exceptions
E7,<*> exited abnormally due to signal: Aborted
E8,<*> exited normally with exit code <*>
E9,<*> floating point alignment exceptions
E10,<*> L3 <*> error(s) (dcr <*> detected and corrected over <*> seconds
E11,<*> L3 <*> error(s) (dcr <*> detected and corrected
E12,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.
E13,<*> PGOOD error latched on link card
E14,<*> power module <*> is not accessible
E15,<*> TLB error interrupt
E16,<*> torus non-crc error(s) (dcr <*> detected and corrected over <*> seconds
E17,<*> torus non-crc error(s) (dcr <*> detected and corrected
E18,<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected
E19,<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected over <*> seconds
E20,<*> torus <*> <*> <*> error(s) (dcr <*> detected and corrected
E21,<*> torus <*> <*> <*> error(s) (dcr <*> detected and corrected over <*> seconds
E22,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt."
E23,<*> tree receiver <*> in re-synch state event(s) (dcr <*> detected
E24,<*> tree receiver <*> in re-synch state event(s) (dcr <*> detected over <*> seconds
E25,Added <*> subnets and <*> addresses to DB
E26,address parity error..0
E27,auxiliary processor.........................0
E28,Bad cable going into LinkCard <*> Jtag <*> Port <*> - <*> bad wires
E29,BglIdoChip table has <*> IDOs with the same IP address <*>
E30,BGLMASTER FAILURE mmcs_server exited normally with exit code 13
E31,BGLMaster has been started: ./BGLMaster --consoleip 127.0.0.1 --consoleport 32035 --configfile bglmaster.init
E32,BGLMaster has been started: ./BGLMaster --consoleip 127.0.0.1 --consoleport 32035 --configfile bglmaster.init --autorestart y
E33,BGLMaster has been started: ./BGLMaster --consoleip 127.0.0.1 --consoleport 32035 --configfile bglmaster.init --autorestart y --db2profile /u/bgdb2cli/
E34,byte ordering exception.....................0
E35,Can not get assembly information for node card
E36,capture <*>
E37,capture first <*> <*> error address..0
E38,CE sym <*> at <*> mask <*>
