LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate
1,081109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,E10,PacketResponder <*> for block blk_<*> terminating
2,081109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,E10,PacketResponder <*> for block blk_<*> terminating
3,081109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
4,081109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,E10,PacketResponder <*> for block blk_<*> terminating
5,081109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,E10,PacketResponder <*> for block blk_<*> terminating
6,081109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
7,081109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
8,081109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
9,081109,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,E10,PacketResponder <*> for block blk_<*> terminating
10,081109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,E11,Received block blk_<*> of size <*> from /<*>
11,081109,204722,567,INFO,dfs.DataNode$PacketResponder,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,E11,Received block blk_<*> of size <*> from /<*>
12,081109,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
13,081109,204842,663,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
14,081109,204908,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
15,081109,204925,673,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
16,081109,205035,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
17,081109,205056,710,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_5017373558217225674 terminating,E10,PacketResponder <*> for block blk_<*> terminating
18,081109,205157,752,INFO,dfs.DataNode$PacketResponder,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,E11,Received block blk_<*> of size <*> from /<*>
19,081109,205315,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
20,081109,205409,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
21,081109,205412,832,INFO,dfs.DataNode$PacketResponder,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,E11,Received block blk_<*> of size <*> from /<*>
22,081109,205632,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
23,081109,205739,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
24,081109,205742,1001,INFO,dfs.DataNode$PacketResponder,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,E11,Received block blk_<*> of size <*> from /<*>
25,081109,205746,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
26,081109,205749,997,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
27,081109,205754,952,INFO,dfs.DataNode$PacketResponder,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,E11,Received block blk_<*> of size <*> from /<*>
28,081109,205858,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
29,081109,205931,13,INFO,dfs.DataBlockScanner,Verification succeeded for blk_-4980916519894289629,E14,Verification succeeded for blk_<*>
30,081109,210022,1110,INFO,dfs.DataNode$PacketResponder,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,E11,Received block blk_<*> of size <*> from /<*>
31,081109,210037,1084,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
32,081109,210248,1138,INFO,dfs.DataNode$PacketResponder,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,E11,Received block blk_<*> of size <*> from /<*>
33,081109,210407,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
34,081109,210458,1278,INFO,dfs.DataNode$DataXceiver,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
35,081109,210551,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
36,081109,210637,1283,INFO,dfs.DataNode$PacketResponder,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,E11,Received block blk_<*> of size <*> from /<*>
37,081109,210656,1334,INFO,dfs.DataNode$PacketResponder,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,E11,Received block blk_<*> of size <*> from /<*>
38,081109,210712,1333,INFO,dfs.DataNode$PacketResponder,Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,E11,Received block blk_<*> of size <*> from /<*>
39,081109,210743,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
40,081109,210801,1357,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
41,081109,210807,1408,INFO,dfs.DataNode$PacketResponder,Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,E11,Received block blk_<*> of size <*> from /<*>
