LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate
1,134681,node-246,unix.hw,state_change.unavailable,1077804742,1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
2,350766,node-109,unix.hw,state_change.unavailable,1084680778,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
3,344518,node-246,unix.hw,state_change.unavailable,1084270955,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
4,344448,node-153,unix.hw,state_change.unavailable,1084270952,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
5,366633,node-200,unix.hw,state_change.unavailable,1085100843,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
6,366463,node-122,unix.hw,state_change.unavailable,1085084674,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
7,438190,node-228,unix.hw,state_change.unavailable,1097194780,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
8,225111,node-10,unix.hw,state_change.unavailable,1117296789,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
9,360778,node-130,unix.hw,state_change.unavailable,1141108031,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
10,401569,node-169,unix.hw,state_change.unavailable,1142550406,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
11,401855,node-187,unix.hw,state_change.unavailable,1142553646,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
12,460773,node-199,unix.hw,state_change.unavailable,1145552100,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
13,2568643,node-70,action,start,1074119817,1,clusterAddMember  (command 1902),E8,clusterAddMember  (command <*>)
14,2570772,node-124,action,start,1074123150,1,clusterAddMember  (command 1900),E8,clusterAddMember  (command <*>)
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot  (command <*>)
16,2572286,node-17,action,start,1074126278,1,bootGenvmunix  (command 1903),E6,bootGenvmunix  (command <*>)
17,2575909,node-162,action,start,1074178193,1,boot  (command 1911),E4,boot  (command <*>)
18,2576195,node-181,action,start,1074178628,1,boot  (command 1910),E4,boot  (command <*>)
19,2599298,node-198,action,start,1074297419,1,boot  (command 1978),E4,boot  (command <*>)
20,2600743,node-57,action,start,1074298084,1,boot  (command 1967),E4,boot  (command <*>)
21,2601401,node-184,action,start,1074298390,1,wait  (command 1975),E45,wait  (command <*>)
22,2612635,node-88,action,start,1074535847,1,boot  (command 1999),E4,boot  (command <*>)
23,2608062,node-238,action,start,1074461014,1,halt  (command 1982),E19,halt  (command <*>)
24,2607813,node-243,action,start,1074459063,1,boot  (command 1981),E4,boot  (command <*>)
25,2600616,node-152,action,start,1074298056,1,boot  (command 1973),E4,boot  (command <*>)
26,2601430,node-159,action,start,1074298398,1,wait  (command 1973),E45,wait  (command <*>)
27,3515,node-216,action,start,1075629790,1,wait  (command 2057),E45,wait  (command <*>)
28,41108,node-93,action,start,1076538873,1,boot  (command 2152),E4,boot  (command <*>)
29,39962,node-134,action,start,1076538533,1,wait  (command 2154),E45,wait  (command <*>)
