EventId,EventTemplate
E1,<*> failures on node MININT-<*>
E2,Added attempt_<*> to list of failed maps
E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
E6,Adding #<*> tokens and #<*> secret keys for NM use for launching container
E7,Adding job token for job_<*> to jobTokenSecretManager
E8,adding path spec: /<*>/*
E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server
E10,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
E11,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:0 ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
E12,All maps assigned. Ramping up all remaining reduces:<*>
E13,Assigned container container_<*> to attempt_<*>
E14,attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
E15,attempt_<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP
E16,attempt_<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED
E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
E18,attempt_<*> TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP
E19,attempt_<*> TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP
E20,attempt_<*> TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED
E21,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
E22,ATTEMPT_START task_<*>
E23,Auth successful for job_<*> (auth:SIMPLE)
E24,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
E25,blacklistDisablePercent is <*>
E26,"Cannot assign container Container: [ContainerId: container_<*>, NodeId: <*>:<*>, NodeHttpAddress: <*>:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>:<*> }, ] for a map as either  container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=true"
E27,Connecting to ResourceManager at <*>/<*>:<*>
E28,Container complete event for unknown container id container_<*>
E29,Created MRAppMaster for application appattempt_<*>
E30,DataStreamer Exception
E31,Default file system [hdfs://<*>:<*>]
E32,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_<*>
E33,DFSOutputStream ResponseProcessor exception  for block BP-<*>:blk_<*>
